Telemetry GUID (Device+ParamName),"Device 
(CompClass)",Metric (ParamName),Description,"Category
GPU-MEM-TEMP-THRESH-MAX,GPU,MEM-TEMP-THRESH-MAX,The ratio of cycles the any tensor pipe is active,Specs,Uint64,"SMBPBI: (0x28,-,-) Tensor Core Activity | NSM: (0x3, 0x49)",NVML_GPM_METRIC_ANY_TENSOR_UTIL,NA,DCGM_FI_PROF_PIPE_TENSOR_ACTIVE:1004,"2023.3
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_SXM_{InstanceId}/ProcessorMetrics
{Oem{Nvidia{TensorCoreActivityPercent}}}","2023.3
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_{InstanceId}/ProcessorMetrics
{Oem{Nvidia{TensorCoreActivityPercent}}}","2023.3
/redfish/v1/Systems/System_{InstanceId}/Processors/GPU_{InstanceId}/ProcessorMetrics
{Oem{Nvidia{TensorCoreActivityPercent}}}",,,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/sensors/temperature/HGX_GPU_$gpuid_DRAM_0_Temp_0 xyz.openbmc_project.Sensor.Value MaxAllowableValue,,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,NA,,,Available,Yes,Disabled,10 Sec,30,"2023.3
/redfish/v1/Systems/{SYSTEM_NAME}_{InstanceId}/Processors/{GPU_PROC_NAME}_{InstanceId}/ProcessorMetrics
{Oem{Nvidia{TensorCoreActivityPercent}}}","2023.3
/redfish/v1/Systems/$SystemId/Processors/$ProcessorId/ProcessorMetrics
{Oem{Nvidia{TensorCoreActivityPercent}}}","{SystemId:{SystemType: Physical}, ProcessorId: {ProcessorType: GPU}}",GPU,,Y,ES,,,,"L0, R1","L1, R1",Not Supported
GPU-PCI-LINK-WIDTH-MAX,GPU,PCI-LINK-WIDTH-MAX,Decoder utilization (in %).,Specs,Uint64,"SMBPBI: (0x28,-,-): NVDEC Utilization | NSM: (0x3, 0x49)",NVML_GPM_METRIC_NVDEC_[0-7]_UTIL,nvidia_smi_log.gpu.utilization.decoder_util,DCGM_FI_PROF_NVDEC[0-7]_ACTIVE:[1017-1024],"2023.3
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_SXM_{InstanceId}/ProcessorMetrics
{Oem{Nvidia{NVDecInstanceUtilizationPercent}}}","2023.3
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_{InstanceId}/ProcessorMetrics
{Oem{Nvidia{NVDecInstanceUtilizationPercent}}}","2023.3
/redfish/v1/Systems/System_{InstanceId}/Processors/GPU_{InstanceId}/ProcessorMetrics
{Oem{Nvidia{NVDecInstanceUtilizationPercent}}}",,,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/chassis/HGX_GPU_$gpuid/PCIeDevices/GPU_$gpuid xyz.openbmc_project.Inventory.Item.PCIeDevice MaxLanes,,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,NA,,,Available,Yes,Disabled,10 Sec,30,"2023.3
/redfish/v1/Systems/{SYSTEM_NAME}_{InstanceId}/Processors/{GPU_PROC_NAME}_{InstanceId}/ProcessorMetrics
{Oem{Nvidia{NVDecInstanceUtilizationPercent}}}","2023.3
/redfish/v1/Systems/$SystemId/Processors/$ProcessorId/ProcessorMetrics
{Oem{Nvidia{NVDecInstanceUtilizationPercent}}}","{SystemId:{SystemType: Physical}, ProcessorId: {ProcessorType: GPU}}",,,Y,ES,,,,"L0, R1","L1, R1",Not Supported
GPU-ECC-SCHEME,GPU,ECC-SCHEME,Framebuffer memory free (in MiB).,Specs,string,NA,nvmlDeviceGetMemoryInfo,nvidia_smi_log.gpu.fb_memory_usage.free,DCGM_FI_DEV_FB_FREE:251,NA,NA,NA,,,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/dimm/GPU_$gpuid_DRAM_0 xyz.openbmc_project.Inventory.Item.Dimm ECC,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available IB,Yes,No Impact,10 Sec,,NA,NA,,,,Y,ES Factory,,,,"L0, R1","L1, R1",NA
GPU-UTIL-ROWREMAP-BANK-COUNT-HIGH,GPU,UTIL-ROWREMAP-BANK-COUNT-HIGH,GPU utilization (in %).,Specs,Uint64,"SMBPBI: (0x28,-,-): Graphics Engine | NSM: (0x3, 0x49)",nvmlDeviceGetUtilizationRates,nvidia_smi_log.gpu.utilization.gpu_util,DCGM_FI_DEV_GPU_UTIL:203,"Future
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_SXM_{InstanceId}/ProcessorMetrics
{Oem{Nvidia{NVDecUtilizationPercent}}}","Future
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_{InstanceId}/ProcessorMetrics
{Oem{Nvidia{NVDecUtilizationPercent}}}","Future
/redfish/v1/Systems/System_{InstanceId}/Processors/GPU_{InstanceId}/ProcessorMetrics
{Oem{Nvidia{NVDecUtilizationPercent}}}",,,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/dimm/GPU_$gpuid_DRAM_0 com.nvidia.MemoryRowRemapping HighRemappingAvailablityBankCount,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,,,Available IB,Yes,Disabled,10 Sec,30,"Future
/redfish/v1/Systems/{SYSTEM_NAME}_{InstanceId}/Processors/{GPU_PROC_NAME}_{InstanceId}/ProcessorMetrics
{Oem{Nvidia{NVDecUtilizationPercent}}}","Future
/redfish/v1/Systems/$SystemId/Processors/$ProcessorId/ProcessorMetrics
{Oem{Nvidia{NVDecUtilizationPercent}}}","{SystemId:{SystemType: Physical}, ProcessorId: {ProcessorType: GPU}}",,,,,,,,L1,L1,NA
GPU-UTIL-ROWREMAP-BANK-COUNT-LOW,GPU,UTIL-ROWREMAP-BANK-COUNT-LOW,Energy Counter,Specs,Uint64,"SMBPBI: (0x22,unused,unused) |  NSM: (0x3, 0x06)","nvmlDeviceGetTotalEnergyConsumption/
NVML_FI_DEV_TOTAL_ENERGY_CONSUMPTION",NA,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION:156,"2021.1c
/redfish/v1/Chassis/HGX_GPU_SXM_{InstanceId}/Sensors/HGX_GPU_SXM_{InstanceId}_Energy_{InstanceId}
{Reading}","2021.1c
/redfish/v1/Chassis/HGX_GPU_{InstanceId}/Sensors/HGX_GPU_{InstanceId}_Energy_{InstanceId}
{Reading}","2021.1c
/redfish/v1/Chassis/GPU_{InstanceId}/Sensors/GPU_{InstanceId}_Energy_{InstanceId}
{Reading}",/redfish/v1/TelemetryService/MetricReports/HGX_PlatformEnvironmentMetrics_0,/redfish/v1/TelemetryService/MetricReports/PlatformEnvironmentMetrics_0,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/dimm/GPU_$gpuid_DRAM_0 com.nvidia.MemoryRowRemapping LowRemappingAvailablityBankCount,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available,Yes,No Impact,,0.3,"2021.1c
/redfish/v1/Chassis/{GPU_CHAS_NAME}_{InstanceId}/Sensors/{GPU_SENS_NAME}_{InstanceId}_Energy_{InstanceId}
{Reading}","2021.1c
/redfish/v1/Chassis/$ChassisId/Sensors/$SensorId
{Reading}","{ChassisId: {Id_contains: {anyOf: [GPU], not: [RoT]}}, SensorId: {ReadingType: EnergyJoules}}",GPU,int(DCGMVal) / 1000,Y,ES Factory,,,,"L0, R1","L1, R1","RF:DCGM, nvoem"
GPU-UTIL-ROWREMAP-BANK-COUNT-MAX,GPU,UTIL-ROWREMAP-BANK-COUNT-MAX,The current memory power,Specs,Uint64,"SMBPBI: (0X04,[0x02],Unused) |  NSM: (0x3, 0x03)",NA,NA,NA,"2021.1c
/redfish/v1/Chassis/HGX_GPU_SXM_{InstanceId}/Sensors/HGX_GPU_SXM_{InstanceId}_DRAM_{InstanceId}_Power_0
{Reading}","2021.1c
/redfish/v1/Chassis/HGX_GPU_{InstanceId}/Sensors/HGX_GPU_{InstanceId}_DRAM_{InstanceId}_Power_0
{Reading}","2021.1c
/redfish/v1/Chassis/GPU_{InstanceId}/Sensors/GPU_{InstanceId}_DRAM_{InstanceId}_Power_0
{Reading}",/redfish/v1/TelemetryService/MetricReports/HGX_PlatformEnvironmentMetrics_0,/redfish/v1/TelemetryService/MetricReports/PlatformEnvironmentMetrics_0,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/dimm/GPU_$gpuid_DRAM_0 com.nvidia.MemoryRowRemapping MaxRemappingAvailablityBankCount,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available OOB,Yes,No Impact,,0.3,"2021.1c
/redfish/v1/Chassis/{GPU_CHAS_NAME}_{InstanceId}/Sensors/{GPU_SENS_NAME}_{InstanceId}_DRAM_{InstanceId}_Power_0
{Reading}","2021.1c
/redfish/v1/Chassis/$ChassisId/Sensors/$SensorId
{Reading}","{ChassisId: {Id_contains: {anyOf: [GPU], not: [RoT]}}, SensorId: {ReadingType: Power, Id_Contains: DRAM}}",,,Y,ES Factory,,,,"L0, R1","L1, R1",NA
GPU-UTIL-ROWREMAP-BANK-COUNT-NONE,GPU,UTIL-ROWREMAP-BANK-COUNT-NONE,The current GPU power (each),Specs,Uint64,"SMBPBI: (0x04,[0x00],Unused) |  NSM: (0x3, 0x03)",nvmlDeviceGetPowerUsage,nvidia_smi_log.gpu.gpu_power_readings.power_draw | nvidia_smi_log.gpu.gpu_power_readings.instant_power_draw,DCGM_FI_DEV_POWER_USAGE:155,"2021.1c
/redfish/v1/Chassis/HGX_GPU_SXM_{InstanceId}/Sensors/HGX_GPU_SXM_{InstanceId}_Power_0
{Reading}","2021.1c
/redfish/v1/Chassis/HGX_GPU_{InstanceId}/Sensors/HGX_GPU_{InstanceId}_Power_0
{Reading}","2021.1c
/redfish/v1/Chassis/GPU_{InstanceId}/Sensors/GPU_{InstanceId}_Power_0
{Reading}",/redfish/v1/TelemetryService/MetricReports/HGX_PlatformEnvironmentMetrics_0,/redfish/v1/TelemetryService/MetricReports/PlatformEnvironmentMetrics_0,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/dimm/GPU_$gpuid_DRAM_0 com.nvidia.MemoryRowRemapping NoRemappingAvailablityBankCount,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available,Yes,No Impact,,0.3,"2021.1c
/redfish/v1/Chassis/{GPU_CHAS_NAME}_{InstanceId}/Sensors/{GPU_SENS_NAME}_{InstanceId}_Power_0
{Reading}","2021.1c
/redfish/v1/Chassis/$ChassisId/Sensors/$SensorId
{Reading}","{ChassisId: {Id_contains: {anyOf: [GPU], not: [RoT]}}, SensorId: {ReadingType: Power, Id_Contains: {not: [DRAM]}}}",GPU,,Y,ES Factory,,,,"L0, R1","L1, R1",RF:DCGM
GPU-UTIL-ROWREMAP-BANK-COUNT-PARTIAL,GPU,UTIL-ROWREMAP-BANK-COUNT-PARTIAL,"Countdown in degrees Cel to the threshold at which the closest software slowdown mechanism will engage.
See https://partners.nvidia.com/DocumentDetails?DocID=1095822",Specs,Uint64,"SMBPBI: (0x02, 0x07, Unused) | NSM: (0x3, 0x0)",NA,nvidia_smi_log.gpu.temperature.gpu_temp_tlimit,NA,"2021.1f
/redfish/v1/Chassis/HGX_GPU_SXM_{InstanceId}/Sensors/HGX_GPU_SXM_{InstanceId}_TEMP_1
{Reading}","2021.1f
/redfish/v1/Chassis/HGX_GPU_{InstanceId}/Sensors/HGX_GPU_{InstanceId}_TEMP_1
{Reading}","2021.1f
/redfish/v1/Chassis/GPU_{InstanceId}/Sensors/GPU_{InstanceId}_Temp_1
{Reading}",/redfish/v1/TelemetryService/MetricReports/HGX_PlatformEnvironmentMetrics_0,,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/dimm/GPU_$gpuid_DRAM_0 com.nvidia.MemoryRowRemapping PartialRemappingAvailablityBankCount,,NA,NA,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available OOB,No,Throttled,10 Sec,30,"2021.1f
/redfish/v1/Chassis/{GPU_CHAS_NAME}_{InstanceId}/Sensors/{GPU_SENS_NAME}_{InstanceId}_{TEMP_SENSOR_NAME}_1
{Reading}","2021.1f
/redfish/v1/Chassis/$ChassisId/Sensors/$SensorId
{Reading}","{ChassisId: {Id_contains: {anyOf: [GPU], not: [RoT]}}, SensorId: {ReadingType: Temperature, Implementation: Synthesized, Id_contains: {not: [DRAM]}}}",GPU,,Y,ES Factory,,,,"L0, R1","L1, R1",NA
GPU-ECC-SRAM-THRESHOLD-CROSSED,GPU,ECC-SRAM-THRESHOLD-CROSSED,Temperature of the GPU,Specs,Uint64,"SMBPBI: (0x02/03,00,unused) | NSM: (0x3, 0x0)",nvmlDeviceGetTemperature,nvidia_smi_log.gpu.temperature.gpu_temp,DCGM_FI_DEV_GPU_TEMP:150,"2021.1c
/redfish/v1/Chassis/HGX_GPU_SXM_{InstanceId}/Sensors/HGX_GPU_SXM_{InstanceId}_TEMP_0
{Reading}","2021.1c
/redfish/v1/Chassis/HGX_GPU_{InstanceId}/Sensors/HGX_GPU_{InstanceId}_TEMP_0
{Reading}","2021.1c
/redfish/v1/Chassis/GPU_{InstanceId}/Sensors/GPU_{InstanceId}_Temp_0
{Reading}",/redfish/v1/TelemetryService/MetricReports/HGX_PlatformEnvironmentMetrics_0,,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/accelerator/GPU_$gpuid xyz.openbmc_project.Memory.MemoryECC isThresholdExceeded,,NA,NA,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available,No,Throttled,10 Sec,0.3,"2021.1c
/redfish/v1/Chassis/{GPU_CHAS_NAME}_{InstanceId}/Sensors/{GPU_SENS_NAME}_{InstanceId}_{TEMP_SENSOR_NAME}_0
{Reading}","2021.1c
/redfish/v1/Chassis/$ChassisId/Sensors/$SensorId
{Reading}","{ChassisId: {Id_contains: {anyOf: [GPU], not: [RoT]}}, SensorId: {ReadingType: Temperature, Implementation: {not: [Synthesized]}, Id_contains: {not: [DRAM]}}}",GPU,,Y,ES Factory,,,,"L0, R1","L1, R1",RF:DCGM
GPU-UTIL-FP16,GPU,UTIL-FP16,The current memory temperature,Specs,Double,"SMBPBI: (0x02, [0x05], Unused) | NSM: (0x3, 0x02)",nvmlDeviceGetTemperature,nvidia_smi_log.gpu.temperature.memory_temp,DCGM_FI_DEV_MEMORY_TEMP:140,"2021.1c
/redfish/v1/Chassis/HGX_GPU_SXM_{InstanceId}/Sensors/HGX_GPU_SXM_{InstanceId}_DRAM_{InstanceId}_Temp_0
{Reading}","2021.1c
/redfish/v1/Chassis/HGX_GPU_{InstanceId}/Sensors/HGX_GPU_{InstanceId}_DRAM_{InstanceId}_Temp_0
{Reading}","2021.1c
/redfish/v1/Chassis/GPU_{InstanceId}/Sensors/GPU_{InstanceId}_DRAM_{InstanceId}_Temp_0
{Reading}",/redfish/v1/TelemetryService/MetricReports/HGX_PlatformEnvironmentMetrics_0,,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/accelerator/GPU_$gpuid com.nvidia.GPMMetrics FP16ActivityPercent,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available,No,Throttled,10 Sec,0.3,"2021.1c
/redfish/v1/Chassis/{GPU_CHAS_NAME}_{InstanceId}/Sensors/{GPU_SENS_NAME}_{InstanceId}_DRAM_{InstanceId}_Temp_0
{Reading}","2021.1c
/redfish/v1/Chassis/$ChassisId/Sensors/$SensorId
{Reading}","{ChassisId: {Id_contains: {anyOf: [GPU], not: [RoT]}}, SensorId: {ReadingType: Temperature, Id_Contains: DRAM}}",GPU,,Y,ES Factory,,,,"L0, R1","L1, R1",RF:DCGM
GPU-UTIL-FP32,GPU,UTIL-FP32,The core voltage of this processor in Volts,Specs,Double,"SMBPBI: (0x29, [0x01], Unused) | NSM: (0x3, 0x0F)",nvmlUnitGetPsuInfo,nvidia_smi_log.gpu.voltage.graphics_volt,NA,"2022.1e
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_SXM_{InstanceId}/ProcessorMetrics
{CoreVoltage{Reading}}","2022.1e
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_{InstanceId}/ProcessorMetrics
{CoreVoltage{Reading}}","2022.1e
/redfish/v1/Systems/System_{InstanceId}/Processors/GPU_{InstanceId}/ProcessorMetrics
{CoreVoltage{Reading}}",,,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/accelerator/GPU_$gpuid com.nvidia.GPMMetrics FP32ActivityPercent,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available OOB,No,No Impact,10 Sec,30,"2022.1e
/redfish/v1/Systems/{SYSTEM_NAME}_{InstanceId}/Processors/{GPU_PROC_NAME}_{InstanceId}/ProcessorMetrics
{CoreVoltage{Reading}}","2022.1e
/redfish/v1/Systems/$SystemId/Processors/$ProcessorId/ProcessorMetrics
{CoreVoltage{Reading}}","{SystemId:{SystemType: Physical}, ProcessorId: {ProcessorType: GPU}}",GPU,,Y,ES Factory,,,,"L0, R1","L1, R1",NA
GPU-UTIL-FP64,GPU,UTIL-FP64,The lower bound of the total GPU power limit,Specs,Double,NA,NA,nvidia_smi_log.gpu.gpu_power_readings.min_power_limit,NA,"2021.1c
/redfish/v1/Chassis/HGX_GPU_SXM_{InstanceId}
{MinPowerWatts}","2021.1c
/redfish/v1/Chassis/HGX_GPU_{InstanceId}
{MinPowerWatts}","2021.1c
/redfish/v1/Chassis/GPU_{InstanceId}
{MinPowerWatts}",,,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/accelerator/GPU_$gpuid com.nvidia.GPMMetrics FP64ActivityPercent,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,NA,Yes,Yes,Yes,NA,NA,,,Available OOB,No,No Impact,10 Min,30,"2021.1c
/redfish/v1/Chassis/{GPU_CHAS_NAME}_{InstanceId}
{MinPowerWatts}","2021.1c
/redfish/v1/Chassis/$ChassisId
{MinPowerWatts}","{ChassisId: {Id_contains: {anyOf: [GPU], not: [RoT]}}}",GPU,,,ES,,,,L0,L1,NA
GPU-UTIL-SM-PERCENT,GPU,UTIL-SM-PERCENT,The upper bound of the total GPU power limit,Specs,Double,NA,NA,nvidia_smi_log.gpu.gpu_power_readings.max_power_limit,NA,"2021.1c
/redfish/v1/Chassis/HGX_GPU_SXM_{InstanceId}
{MaxPowerWatts}","2021.1c
/redfish/v1/Chassis/HGX_GPU_{InstanceId}
{MaxPowerWatts}","2021.1c
/redfish/v1/Chassis/GPU_{InstanceId}
{MaxPowerWatts}",,,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/accelerator/GPU_$gpuid com.nvidia.GPMMetrics SMActivityPercent,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,NA,Yes,Yes,Yes,NA,NA,,,Available OOB,No,No Impact,10 Min,30,"2021.1c
/redfish/v1/Chassis/{GPU_CHAS_NAME}_{InstanceId}
{MaxPowerWatts}","2021.1c
/redfish/v1/Chassis/$ChassisId
{MaxPowerWatts}","{ChassisId: {Id_contains: {anyOf: [GPU], not: [RoT]}}}",GPU,,,ES,,,,L0,L1,NA
GPU-UTIL-TENSOR-CORES,GPU,UTIL-TENSOR-CORES,"The type of memory device, e.g. DDR4/DDR5, HBM",Specs,Double,NA,NA,NA,NA,"2021.1c
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Memory/GPU_SXM_{InstanceId}_DRAM_{InstanceId}
{MemoryDeviceType}","2021.1c
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Memory/GPU_{InstanceId}_DRAM_{InstanceId}
{MemoryDeviceType}","2021.1c
/redfish/v1/Systems/System_{InstanceId}/Memory/GPU_{InstanceId}_DRAM_{InstanceId}
{MemoryDeviceType}",,,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/accelerator/GPU_$gpuid com.nvidia.GPMMetrics TensorCoreActivityPercent,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available OOB,No,No Impact,10 Min,30,"2021.1c
/redfish/v1/Systems/{SYSTEM_NAME}_{InstanceId}/Memory/{GPU_MEM_NAME}_{InstanceId}_DRAM_{InstanceId}
{MemoryDeviceType}","2021.1c
/redfish/v1/Systems/$SystemId/Memory/$MemoryId
{MemoryDeviceType}","{SystemId:{SystemType: Physical}, MemoryId: {MemoryDeviceType: HBM}}",,,,ES,,,,"L0, R1","L1, R1",NA
GPU-NVLINK-STATUS[0],GPU,NVLINK-STATUS[0],Minimum Programmable Clock in KHz (Memory),Status,string,"SMBPBI: (0x1B, [0x01], [0x01])| NSM: (0x3, 0xC)",nvmlDeviceGetSupportedMemoryClocks,nvidia_smi_log.gpu.supported_clocks.supported_mem_clock,NA,"2021.1c
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Memory/GPU_SXM_{InstanceId}_DRAM_{InstanceId}
{AllowedSpeedsMHz[0]}","2021.1c
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Memory/GPU_{InstanceId}_DRAM_{InstanceId}
{AllowedSpeedsMHz[0]}","2021.1c
/redfish/v1/Systems/System_{InstanceId}/Memory/GPU_{InstanceId}_DRAM_{InstanceId}
{AllowedSpeedsMHz[0]}",,,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/accelerator/GPU_$gpuid/Ports/NVLink_[gpu_nvlinkid] xyz.openbmc_project.Inventory.Decorator.PortState LinkStatus,"""nsmd_HGX_ProcessorPortMetrics_0""",NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available,No,No Impact,10 Min,30,"2021.1c
/redfish/v1/Systems/{SYSTEM_NAME}_{InstanceId}/Memory/{GPU_MEM_NAME}_{InstanceId}_DRAM_{InstanceId}
{AllowedSpeedsMHz[0]}","2021.1c
/redfish/v1/Systems/$SystemId/Memory/$MemoryId
{AllowedSpeedsMHz[0]}","{SystemId:{SystemType: Physical}, MemoryId: {MemoryDeviceType: HBM}}",,,,ES,,,,"L0, R1","L1, R1",NA
GPU-NVLINK-SUBLINK-WIDTH-RX[0],GPU,NVLINK-SUBLINK-WIDTH-RX[0],Minimum Programmable Clock in KHz (Streaming Multiprocessor),Status,Uint64,"SMBPBI: (0x1B, [0x01], [0x00])| NSM: (0x3, 0x0C)",nvmlDeviceGetSupportedGraphicsClocks,nvidia_smi_log.gpu.supported_clocks.supported_mem_clock.supported_graphics_clock,NA,"2021.1c
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_SXM_{InstanceId}
{MinSpeedMHz}","2021.1c
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_{InstanceId}
{MinSpeedMHz}","2021.1c
/redfish/v1/Systems/System_{InstanceId}/Processors/GPU_{InstanceId}
{MinSpeedMHz}",,,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/accelerator/GPU_$gpuid/Ports/NVLink_[gpu_nvlinkid] xyz.openbmc_project.Metrics.PortMetricsOem3 RXWidth,"""nsmd_HGX_ProcessorPortMetrics_0""",NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available,No,No Impact,10 Min,30,"2021.1c
/redfish/v1/Systems/{SYSTEM_NAME}_{InstanceId}/Processors/{GPU_PROC_NAME}_{InstanceId}
{MinSpeedMHz}","2021.1c
/redfish/v1/Systems/$SystemId/Processors/$ProcessorId
{MinSpeedMHz}","{SystemId:{SystemType: Physical}, ProcessorId: {ProcessorType: GPU}}",GPU,,,ES,,,,"L0, R1","L1, R1",NA
GPU-NVLINK-SUBLINK-WIDTH-TX[0],GPU,NVLINK-SUBLINK-WIDTH-TX[0],Maximum Programmable Clock in KHz (Streaming Multiprocessor),Status,Uint64,"SMBPBI: (0x1B, [0x02], [0x00])| NSM: (0x3, 0x0C)",nvmlDeviceGetMaxClockInfo,nvidia_smi_log.gpu.max_clocks.sm_clock,DCGM_FI_DEV_MAX_SM_CLOCK:113,"2021.1c
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_SXM_{InstanceId}
{MaxSpeedMHz}","2021.1c
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_{InstanceId}
{MaxSpeedMHz}","2021.1c
/redfish/v1/Systems/System_{InstanceId}/Processors/GPU_{InstanceId}
{MaxSpeedMHz}",,,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/accelerator/GPU_$gpuid/Ports/NVLink_[gpu_nvlinkid] xyz.openbmc_project.Metrics.PortMetricsOem3 TXWidth,"""nsmd_HGX_ProcessorPortMetrics_0""",NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available,No,No Impact,10 Min,30,"2021.1c
/redfish/v1/Systems/{SYSTEM_NAME}_{InstanceId}/Processors/{GPU_PROC_NAME}_{InstanceId}
{MaxSpeedMHz}","2021.1c
/redfish/v1/Systems/$SystemId/Processors/$ProcessorId
{MaxSpeedMHz}","{SystemId:{SystemType: Physical}, ProcessorId: {ProcessorType: GPU}}",GPU,,,ES,,,,"L0, R1","L1, R1",RF:DCGM
